"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J55";"PinHeader_1x07_P2.54mm_Vertical";1;"L_MAP_RANGE";;;
2;"C15,C4,C8,C2,C9,C5,C6,C16,C19,C20,C17,C3,C1,C7,C12,C18";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";16;"100nF";;;
3;"R21,R28,R26,R23,R24,R25,R3,R30,R4,R5,R1,R22,R6,R2,R29,R27";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";16;"R4.7K";;;
4;"J56";"PinHeader_1x03_P2.54mm_Vertical";1;"LB_ENC";;;
5;"J11";"PinHeader_1x03_P2.54mm_Vertical";1;"AP1";;;
6;"J49";"PinHeader_1x03_P2.54mm_Vertical";1;"RVOR/ADF_1";;;
7;"J57";"PinHeader_1x03_P2.54mm_Vertical";1;"LVOR/ADF_1";;;
8;"J37";"PinHeader_1x02_P2.54mm_Vertical";1;"H_PUSH";;;
9;"H3,H1,H7,H2,H4,H5,H6";"MountingHole_2.7mm_M2.5_DIN965_Pad_TopBottom";7;"MountingHole";;;
10;"J33";"PinHeader_1x02_P2.54mm_Vertical";1;"LVL_OFF";;;
11;"J54";"PinHeader_1x06_P2.54mm_Vertical";1;"L_MAP_MODE";;;
12;"J72";"PinHeader_1x02_P2.54mm_Vertical";1;"VS_PULL";;;
13;"J42";"PinHeader_1x03_P2.54mm_Vertical";1;"ALT_ENC";;;
14;"J6";"PinHeader_1x03_P2.54mm_Vertical";1;"APPR";;;
15;"J14";"PinHeader_1x04_P2.54mm_Vertical";1;"ALT_OLED";;;
16;"J46";"PinHeader_1x03_P2.54mm_Vertical";1;"VS_ENC";;;
17;"U3,U2,U4,U1";"SOIC-24W_7.5x15.4mm_P1.27mm";4;"CD74HC4067M";;;
18;"R9,R31,R10,R8,R7,R20";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";6;"R10K";;;
19;"J53";"PinHeader_1x07_P2.54mm_Vertical";1;"R_MAP_RANGE";;;
20;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"R_OLED";;;
21;"J12";"PinHeader_1x06_P2.54mm_Vertical";1;"BootLoader";;;
22;"J47";"PinHeader_1x03_P2.54mm_Vertical";1;"L_NDB";;;
23;"J35";"PinHeader_1x03_P2.54mm_Vertical";1;"HDG_ENC";;;
24;"J24";"PinHeader_1x02_P2.54mm_Vertical";1;"LB_PUSH";;;
25;"J44";"PinHeader_1x02_P2.54mm_Vertical";1;"RB_PUSH";;;
26;"J7";"PinHeader_1x03_P2.54mm_Vertical";1;"EXPED";;;
27;"J32";"PinHeader_1x02_P2.54mm_Vertical";1;"MET_ALT";;;
28;"J3";"PinHeader_1x04_P2.54mm_Vertical";1;"SPD_OLED";;;
29;"J8";"PinHeader_1x03_P2.54mm_Vertical";1;"LOC";;;
30;"J70";"PinHeader_1x02_P2.54mm_Vertical";1;"H_PULL";;;
31;"J34";"PinHeader_1x02_P2.54mm_Vertical";1;"S_PUSH";;;
32;"J39";"PinHeader_1x03_P2.54mm_Vertical";1;"RB_hPa/inHg";;;
33;"J21";"PinHeader_1x03_P2.54mm_Vertical";1;"R_NDB";;;
34;"XT12MHz1,XT16MHz1";"Crystal_SMD_EuroQuartz_MJ-4Pin_5.0x3.2mm_HandSoldering";2;"~";;;
35;"J31";"PinHeader_1x02_P2.54mm_Vertical";1;"HDG/TRK";;;
36;"J10";"PinHeader_1x03_P2.54mm_Vertical";1;"AP2";;;
37;"I2C_1";"SOP65P640X120-24N";1;"PCA9548APW";;;
38;"J17";"PinHeader_1x03_P2.54mm_Vertical";1;"R_LS";;;
39;"J18";"PinHeader_1x03_P2.54mm_Vertical";1;"R_CSTR";;;
40;"J51";"PinHeader_1x06_P2.54mm_Vertical";1;"R_MAP_MODE";;;
41;"J22";"PinHeader_1x03_P2.54mm_Vertical";1;"R_ARPT";;;
42;"J38";"PinHeader_1x02_P2.54mm_Vertical";1;"RB_PULL";;;
43;"J69";"PinHeader_1x02_P2.54mm_Vertical";1;"S_PULL";;;
44;"J25";"PinHeader_1x03_P2.54mm_Vertical";1;"LB_hPa/inHg";;;
45;"J19";"PinHeader_1x03_P2.54mm_Vertical";1;"R_WPT";;;
46;"C10";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10uF";;;
47;"C11,C14,C13";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"22pF";;;
48;"R13,R12";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"R1K";;;
49;"J58";"PinHeader_1x03_P2.54mm_Vertical";1;"LVOR/ADF_2";;;
50;"J15";"PinHeader_1x04_P2.54mm_Vertical";1;"VSPEED_OLED";;;
51;"J16";"PinHeader_1x03_P2.54mm_Vertical";1;"R_FD";;;
52;"J30";"PinHeader_1x02_P2.54mm_Vertical";1;"SPD/MACH";;;
53;"P1";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Plug_USB2.0";;;
54;"J40";"PinHeader_1x03_P2.54mm_Vertical";1;"L_VORD";;;
55;"D1";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"LED";;;
56;"J45";"PinHeader_1x03_P2.54mm_Vertical";1;"A_1H_1K";;;
57;"J28";"PinHeader_1x03_P2.54mm_Vertical";1;"L_CSTR";;;
58;"J23";"PinHeader_1x02_P2.54mm_Vertical";1;"LB_PULL";;;
59;"J41";"PinHeader_1x03_P2.54mm_Vertical";1;"SPD_ENC";;;
60;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"L_OLED";;;
61;"J36";"PinHeader_1x03_P2.54mm_Vertical";1;"RB_ENC";;;
62;"R11";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"R";;;
63;"U6";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340G";;;
64;"J29";"PinHeader_1x03_P2.54mm_Vertical";1;"L_WPT";;;
65;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"HDG_OLED";;;
66;"J27";"PinHeader_1x03_P2.54mm_Vertical";1;"L_LS";;;
67;"J48";"PinHeader_1x02_P2.54mm_Vertical";1;"VS_PUSH";;;
68;"J20";"PinHeader_1x03_P2.54mm_Vertical";1;"R_VORD";;;
69;"J71";"PinHeader_1x02_P2.54mm_Vertical";1;"A_PULL";;;
70;"J43";"PinHeader_1x02_P2.54mm_Vertical";1;"A_PUSH";;;
71;"J5";"PinHeader_1x04_P2.54mm_Vertical";1;"H_T_OLED";;;
72;"J52";"PinHeader_1x03_P2.54mm_Vertical";1;"L_ARPT";;;
73;"U5";"TQFP100-0.5-14X14MM";1;"ATMega2560";;;
74;"J9";"PinHeader_1x03_P2.54mm_Vertical";1;"A/THR";;;
75;"J26";"PinHeader_1x03_P2.54mm_Vertical";1;"L_FD";;;
76;"J50";"PinHeader_1x03_P2.54mm_Vertical";1;"RVOR/ADF_2";;;
